"GENE","mr291.MV411.RNP_AAVS1.r8","mr292.MV411.RNP_AAVS1.r9","mr293.MV411.RNP_AAVS1.r10","mr294.MV411.RNP_AAVS1.r11","mr315.MV411.RNP_RUNX2.r11","mr316.MV411.RNP_RUNX2.r12","mr317.MV411.RNP_RUNX2.r13","mr318.MV411.RNP_RUNX2.r14"
"A1BG",13.8355293747325,4.62859603260447,0.930953009666514,3.09152143597893,10.8050977057235,0.942461106362385,4.9453702744632,9.69814447961152
"A1BG-AS1",10.0622031816237,16.2000861141157,13.9642951449977,9.27456430793678,23.2725181354044,4.71230553181192,11.8688886587117,7.05319598517201
"A1CF",0,0,0,0,0,0,0,0
"A2M",1.25777539770296,2.31429801630224,3.72381203866606,0,2.49348408593618,4.71230553181192,0.989074054892639,3.52659799258601
"A2M-AS1",0,1.15714900815112,0,0,0,0,0,0
"A3GALT2",0,0,0,0,0,0,0,0
"A4GALT",25.1555079540591,19.671533138569,40.9619324253266,22.6711571971788,14.1297431536384,22.6190665526972,11.8688886587117,24.686185948102
"A4GNT",0,0,0,0,0,0,0,0
"AAAS",1531.9704344022,1209.22071351792,1478.35337935042,1153.13749562014,1498.58393564765,1420.28888728811,1337.22812221485,1437.0886819788
"AACS",934.527120493297,742.889663233018,907.679184424851,770.819344704079,683.214639546515,754.91134619627,601.357025374725,679.751763070953
"AACSP1",0,0,0,0,0,0,0,0
"AADAC",0,0,0,0,0,0,0,0
"AADACL3",0,0,0,0,0,0,0,0
"AADACP1",0,0,0,0,0,0,0,0
"AAGAB",1193.62885242011,1127.06313393919,1106.90312849349,1232.48654581027,1154.48313178845,1147.91762754938,1189.85608803585,1136.44620311084
"AAK1",2213.68469995721,2446.21300323146,1873.07745544903,2517.52895603217,1918.32042344691,2058.33505629545,1977.15903573039,1913.17941097791
"AAMDC",135.839742951919,114.557751806961,134.057233391978,83.471078771431,128.830011106703,116.865177188936,128.579627136043,122.549280242364
"AAMP",3231.2249966989,2386.04125480761,2873.85194084053,2099.14305502969,2844.23418069121,2605.90495909199,2635.88235628888,2643.18519544321
"AANAT",0,0,0,0,0,0,0,0
"AAR2",1396.13069145028,1129.37743195549,1364.77711217111,1015.04953814641,1320.7154041842,1264.78280473832,1150.29312584014,1242.24414288842
"AARD",0,0,0,0,0,0,0,0
"AARS1",4817.27977320233,4121.76476703428,4861.43661647854,4211.68270294862,5443.27575959869,5301.34372328841,5287.58989745605,5400.10317614732
"AARS2",705.611998111359,545.017182839177,606.981362302567,497.734951192607,630.020312379876,571.131430455605,558.826841014341,550.149286843417
"AARSD1",716.931976690686,619.074719360848,676.802838027556,533.802701279028,642.487732809557,639.931091220059,617.182210253007,649.775680133972
"AARSD1P1",0,0,0,0,0,0,0,0
"AASDH",169.799678689899,230.272652622073,250.426359600292,265.870843494188,282.594863072768,313.839548418674,365.957400310277,283.891138403173
"AASDHPPT",915.660489527753,1276.33535599068,1242.8222679048,1488.05231785119,1261.70294748371,1474.00917035077,1556.80256240101,1380.66311409742
"AASS",0,0,0,0,0,0,0,0
"AATBC",49.0532405104153,24.3001291711735,32.583355338328,36.0677500864208,25.7660022213406,35.8135220417706,50.4427767995246,45.8457739036181
"AATF",3696.60189384899,3686.67673996946,3306.74509033546,3482.0836440576,3411.0862295607,3408.88182171275,3300.54012117674,3344.97819596783
"AATK",10.0622031816237,13.8857880978134,7.44762407733211,8.24405716261047,13.2985817916597,7.53968885089908,3.95629621957056,5.28989698887901
"ABALON",17.6088555678414,11.5714900815112,8.37857708699863,25.7626786331577,9.97393634374474,28.2738331908715,7.91259243914112,3.52659799258601
"ABAT",163.510801701384,210.601119483504,119.161985237314,167.972664688188,191.167113255108,220.535898888798,209.68369963724,239.808663495848
"ABCA1",40.2488127264946,65.9574934646137,42.8238384446596,61.8304287195785,44.0515521848726,55.6052052753807,41.5411103054909,34.3843304277136
"ABCA10",6.28887698851479,5.78574504075559,3.72381203866606,2.06101429065262,0,2.82738331908715,0,0.881649498146502
"ABCA11P",12.5777539770296,10.4143410733601,16.7571541739973,10.3050714532631,23.2725181354044,22.6190665526972,18.7924070429601,11.4614434759045
"ABCA12",5.03110159081183,4.62859603260447,0.930953009666514,1.03050714532631,0,0,0.989074054892639,0
"ABCA13",0,0,0,0,0,0,0,0
"ABCA17P",6.28887698851479,2.31429801630224,13.9642951449977,1.03050714532631,6.64929089582983,5.65476663817431,7.91259243914112,7.93484548331851
"ABCA2",2081.61828319839,1567.93690604477,1965.24180340601,1584.91998951186,2150.21444343897,2027.23383978549,1928.69440704065,1912.29776147976
"ABCA3",37.7332619310887,45.1288113178936,31.6524023286615,43.281300103705,37.4022612890428,49.007977530844,41.5411103054909,30.8577324351276
"ABCA4",0,0,0,0,0,0,0,0
"ABCA5",17.6088555678414,40.5002152852891,19.5500132029968,52.5558644116417,42.3892294609151,49.9504386372064,30.6612957016718,27.3311344425416
"ABCA6",30.186609544871,37.0287682608358,36.3071673769941,47.4033286850102,25.7660022213406,41.4682886799449,33.6285178663497,30.8577324351276
"ABCA7",904.340510948426,656.103487621684,681.457603075888,537.924729860333,902.641239108899,690.823990963628,734.882022785231,730.88743396345
"ABCA8",0,0,0,0,0,0,0,0
"ABCA9",0,0,0,0,0,4.71230553181192,0,0.881649498146502
"ABCA9-AS1",0,0,0,0,0,0,0,0
"ABCB1",0,0,0,0,0,0,0,0
"ABCB10",4760.67988030569,5348.34271567447,5918.06828245003,6741.57774472471,7672.45053242564,8363.3998578598,7860.17151423181,7797.30816160766
"ABCB10P1",0,0,0.930953009666514,0,0.831161361978728,0,0,0
"ABCB10P3",2.51555079540592,1.15714900815112,0.930953009666514,0,0,0.942461106362385,0.989074054892639,0
"ABCB10P4",0,2.31429801630224,0.930953009666514,0,1.66232272395746,0,0,1.763298996293
"ABCB11",0,0,0,0,0,0,0,0
"ABCB4",3.77332619310887,0,0.930953009666514,1.03050714532631,1.66232272395746,5.65476663817431,2.96722216467792,2.6449484944395
"ABCB5",0,0,0,0,0,0,0,0
"ABCB6",21.3821817609503,13.8857880978134,9.30953009666514,18.5491286158736,10.8050977057235,14.1369165954358,10.879814603819,10.579793977758
"ABCB7",724.478629076904,732.475322159658,799.688635303536,847.076873458226,768.824259830324,881.20113444883,773.455910926044,827.868878759565
