"GENE","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1BG",8.50418929320138,-0.0520419921652571,0.581510935371569,-0.0894944342396654,0.92868897666955,0.973877584644646
"A1BG-AS1",9.76862346812845,0.340994105164052,0.625022310665581,0.545571092975754,0.585360799335434,0.813374533782566
"A2M",5.30141872552661,-1.73876550124536,0.735112497056771,-2.36530532157594,0.0180152120061863,0.191575402220331
"A2M-AS1",0.116354552227894,-0.865705127002894,3.5338115409304,-0.244977729280653,0.806473675486565,NA
"A4GALT",11.7148873670796,-0.211065274744055,0.428825330942784,-0.492194046186643,0.622582172981734,0.832576662489026
"AAAS",1270.31422259252,0.22888972893167,0.138056256871834,1.65794534864264,0.0973284977742854,0.405823485013941
"AACS",1135.29177636449,-0.430571979821226,0.1088371398512,-3.95611259547885,7.61792664154507e-05,0.00418197087065596
"AAGAB",1333.00018650431,-0.0138410229781211,0.0764326278001303,-0.181087885847849,0.856298593091207,0.945551267052532
"AAK1",2584.92486845613,-0.248203108333575,0.0897291686399217,-2.76613627536884,0.00567248246156633,0.097789970924941
"AAMDC",112.988538929537,0.0800867373436325,0.188051024781495,0.425877696953201,0.670196967335154,0.858272022810824
"AAMP",2905.90076463826,0.1714745470028,0.107149656660537,1.60032754510873,0.109525939283746,0.425758961430614
"AANAT",0.0796154757233781,0.576967393396379,3.5338115409304,0.16327056118122,0.870305411629556,NA
"AAR2",1212.14430806379,0.153606969007278,0.115500280874814,1.3299272334564,0.18354224754009,0.517426900660687
"AARS1",4893.3027670893,-0.126694555014867,0.0866526280169517,-1.46209708711988,0.143714606861626,0.475783475593548
"AARS2",622.465500245387,0.175279599116893,0.145379525636372,1.20566908132105,0.227945111163201,0.562430220671095
"AARSD1",647.816155585978,0.168704827408399,0.089273062217701,1.88976185220347,0.0587898176552904,0.330999327300504
"AASDH",345.337244026702,-0.0936606879381758,0.129442973262225,-0.723567186211322,0.469331492744177,0.746347135340434
"AASDHPPT",2156.89759418679,-0.0897192405054283,0.127657343928023,-0.702812997237468,0.482172296316558,0.753958660561727
"AATBC",75.232838162064,0.523707068758417,0.194937791369286,2.68653433015621,0.0072197528558387,0.113869293075739
"AATF",2919.8701593927,-0.0235953195015113,0.0899729822901015,-0.262248942970819,0.793129522333978,0.919411933685858
"AATK",14.7332641740091,0.168773196890735,0.522578188225198,0.322962574201442,0.746723585924816,0.899721800482974
"ABALON",17.3028267658929,-0.531209079746755,0.424893517402853,-1.25021695551806,0.211220304626019,0.546726796244779
"ABAT",153.547612853982,0.303622695489964,0.135142099317531,2.24669216345803,0.0246597074263641,0.221464051915466
"ABCA1",143.035699559929,-0.483136875406641,0.144594760117302,-3.3413166218105,0.000833820765771222,0.0276698394542095
"ABCA10",9.86019913619583,-0.236430399758985,0.498383154353708,-0.474394846000731,0.635218367695823,0.840750914446978
"ABCA11P",62.8688377181709,0.0845584925283635,0.201177444900414,0.420317956469828,0.674253193949046,0.860216036510458
"ABCA12",1.19193018834823,1.66106551520531,1.71318486093092,0.969577512086299,0.33225712662012,NA
"ABCA13",0.0796154757233781,0.576967393396379,3.5338115409304,0.16327056118122,0.870305411629556,NA
"ABCA17P",22.3267096445816,0.234995723540797,0.344811194613549,0.681519994744285,0.495542519381349,0.762043201638474
"ABCA2",2034.01284753922,-0.196695782841173,0.159858882056799,-1.23043386961311,0.218534676684129,0.5533052824946
"ABCA3",78.6929254559563,-0.0293899104609025,0.21687595808906,-0.135514838619565,0.892204832954401,0.960936027022246
"ABCA5",86.3807800577152,0.0305377126196589,0.207747597466004,0.146994299775987,0.883136519567404,0.956295441239799
"ABCA6",80.0838071558021,-0.0513752062764044,0.21223960081585,-0.242062301657738,0.80873188855235,0.927692205574025
"ABCA7",740.469421846679,0.189843087331046,0.178492710551412,1.06359014183027,0.287514410198688,0.612380664338816
"ABCA9",1.37289474968374,0.62341394357585,1.32970787188384,0.468835265818678,0.639187390280443,NA
"ABCB1",0.141210215342284,-0.865705127002894,3.5338115409304,-0.244977729280653,0.806473675486565,NA
"ABCB10",6738.39156047054,0.0900102050247224,0.120172835886856,0.749006248878637,0.453853439071607,0.73718360613841
"ABCB10P1",0.116354552227894,-0.865705127002894,3.5338115409304,-0.244977729280653,0.806473675486565,NA
"ABCB10P3",0.617433687060741,-0.00808931491736858,2.20991157505656,-0.00366046995213442,0.997079374062175,NA
"ABCB10P4",0.624425708759838,-0.160591220424728,1.98522433497022,-0.0808932358907121,0.935526859314588,NA
"ABCB11",0.0796154757233781,0.576967393396379,3.5338115409304,0.16327056118122,0.870305411629556,NA
"ABCB4",4.04608910724158,-1.42382369981415,0.817639495176669,-1.74138322355196,0.0816164269020135,NA
"ABCB6",22.7313074211492,-0.123468156915169,0.320616735589193,-0.385095795727175,0.70016644279566,0.873616397188141
"ABCB7",820.542577926755,-0.0201690153638923,0.102491999017728,-0.196786242411017,0.843994817573399,0.942064851623778
"ABCB8",625.11275652196,0.295360878950505,0.143819425355317,2.05369252603251,0.040005460390529,0.278366421057076
"ABCB9",69.5141811389336,0.0957536272515973,0.224529782104376,0.426462923333194,0.669770559257813,0.858108272026653
"ABCC1",1727.79618833337,-0.145626658272747,0.0885010738526825,-1.64547899740917,0.0998710703657953,0.409669846500488
"ABCC10",458.627124395309,0.18959645282498,0.137581694113239,1.37806453138256,0.168183365162547,0.500379376173521
"ABCC11",3.69402173999361,0.455244702717562,0.846764464807936,0.537628492500357,0.590833555504323,NA
"ABCC13",34.8257487581709,0.803820170682227,0.294590917806305,2.7285979373293,0.00636042002009308,0.104667310459609
"ABCC2",38.17493526071,0.0174318619008689,0.277962804178652,0.0627129300712661,0.949995100954299,0.980888554008936
"ABCC3",0.823289267121459,-1.36871650510354,1.83483619272761,-0.745961143849496,0.455690887584645,NA
"ABCC4",1816.98143926575,-0.0651564500145322,0.108597882922688,-0.599979007518199,0.548520226011079,0.792463813556763
"ABCC5",501.757443810121,0.148823530900711,0.124932695458605,1.1912296485272,0.233563443315191,0.567546389865179
"ABCC6",15.9200275199521,0.185356598807618,0.435906950284043,0.425220562982162,0.670675895449929,0.858575243450128
"ABCC6P1",1.07965367718018,0.937059873092993,1.54681242171684,0.605800587024593,0.544647179875921,NA
"ABCC8",0.116354552227894,-0.865705127002894,3.5338115409304,-0.244977729280653,0.806473675486565,NA
"ABCC9",0.09802279567887,-0.865705127002894,3.5338115409304,-0.244977729280653,0.806473675486565,NA
