dist_for_fit	mean	var
5000	0.03149928228346852	8.417705465626148e-05
10000	0.014298743948216775	1.1296389987453546e-05
15000	0.010501922420467952	6.587147340069366e-06
20000	0.008332435386612684	4.4640482864092965e-06
25000	0.006939861275194578	3.3372519697906396e-06
30000	0.005978115215794186	2.6788396486682026e-06
35000	0.005272967650541467	2.238341252253329e-06
40000	0.00473279898169225	1.9315264947158795e-06
45000	0.004312176072879604	1.7333704930476376e-06
50000	0.0039709338158988245	1.5586123576846604e-06
55000	0.003690765295817989	1.4523660397831959e-06
60000	0.003453521995015637	1.3369324360998618e-06
65000	0.00325244898474436	1.262975011031596e-06
70000	0.003077536861087144	1.2029524895379416e-06
75000	0.0029250632618534242	1.1226246974886814e-06
80000	0.002790952212059612	1.0653470869568215e-06
85000	0.002671357104924973	1.0208397462186588e-06
90000	0.0025625587002789645	9.768451122100276e-07
95000	0.0024661017125854226	9.422100894879888e-07
100000	0.0023764889499524066	9.024092534809967e-07
105000	0.002297612555773787	8.842987315802105e-07
110000	0.002224099999920078	8.508794675020326e-07
115000	0.002154123040275717	8.167292334444657e-07
120000	0.0020902999338350387	7.894859565194243e-07
125000	0.002031601150577042	7.692335432089344e-07
130000	0.0019743029865146857	7.393665103965507e-07
135000	0.0019216266558264047	7.195283413132578e-07
140000	0.001873397966301875	6.941060035794586e-07
145000	0.0018266673209696477	6.746268779662656e-07
150000	0.0017838279149641047	6.573207076159038e-07
155000	0.0017417428804942384	6.403757551869364e-07
160000	0.00170213570911566	6.156820074277319e-07
165000	0.0016636362581490054	5.98741238872563e-07
170000	0.0016276585734849856	5.804102053987198e-07
175000	0.001594332096088067	5.661858684014287e-07
180000	0.0015598731288923092	5.493608998934976e-07
185000	0.0015303703510079025	5.37179813973725e-07
190000	0.001499022032547542	5.225581393381153e-07
195000	0.0014700672796666688	5.09729804210277e-07
200000	0.0014420671130413675	4.961259528818891e-07
205000	0.0014154504074529652	4.792576820505012e-07
210000	0.0013901681321862934	4.713548141035709e-07
215000	0.0013642289590576721	4.5942269565685494e-07
220000	0.0013409797189020114	4.46697430674134e-07
225000	0.001317392842517576	4.3694420402238777e-07
230000	0.001294445665199701	4.258421959445229e-07
235000	0.0012736912385824459	4.1749414202933556e-07
240000	0.001252478014957958	4.0908379445486517e-07
245000	0.0012319357265314775	4.008710915800303e-07
250000	0.001211731452135136	3.8860305228840824e-07
255000	0.0011924051965116495	3.8386408805440297e-07
260000	0.0011742153022009194	3.758954273260884e-07
265000	0.0011547275137470277	3.6365058968295866e-07
270000	0.0011375392268882668	3.547787582910569e-07
275000	0.0011200801931300953	3.500432456003685e-07
280000	0.0011046668456054448	3.4220006202092155e-07
285000	0.001087659585388538	3.344898758005169e-07
290000	0.0010721691285273008	3.307115224194816e-07
295000	0.0010563708051283794	3.214571191904126e-07
300000	0.0010409668429413887	3.155481028043414e-07
305000	0.0010262169530594295	3.064582784660813e-07
310000	0.0010122070585658616	3.019800743991121e-07
315000	0.000996848686088569	2.9336200541355346e-07
320000	0.00098386147698439	2.904345930016153e-07
325000	0.0009703385015508366	2.839563400555382e-07
330000	0.0009576287087255182	2.775152556311635e-07
335000	0.0009435589713479722	2.7239375550179193e-07
340000	0.0009309344467192842	2.661148508228361e-07
345000	0.0009200620563995144	2.6098769851529564e-07
350000	0.0009077526297579626	2.567324164577138e-07
355000	0.0008962828725769822	2.52601074878651e-07
360000	0.0008840556046379242	2.4634024008814923e-07
365000	0.0008733893582280584	2.443126000569412e-07
370000	0.0008620201696293968	2.3875396268580363e-07
375000	0.0008513290316625985	2.354086868793865e-07
380000	0.0008409259118774961	2.310146991471802e-07
385000	0.0008306929269629885	2.2730128834888378e-07
390000	0.0008205952578643364	2.2245482200156638e-07
395000	0.0008111916668661513	2.2107038125181732e-07
400000	0.0008013417610138911	2.1494923261172375e-07
405000	0.0007918046505153568	2.1183746136320373e-07
410000	0.0007827035736743036	2.0764981646462907e-07
415000	0.0007730819058801172	2.049566623448218e-07
420000	0.0007647934957468008	2.0249593587922006e-07
425000	0.0007550774831400033	1.980336833625259e-07
430000	0.0007470455060852694	1.9523484764265548e-07
435000	0.000738186114585125	1.9082625707568935e-07
440000	0.0007296525880331771	1.8836252265291398e-07
445000	0.0007211992132476231	1.8333989350717917e-07
450000	0.0007139937854181143	1.813551138513425e-07
455000	0.000705796812701431	1.7899266638434962e-07
460000	0.000697753342875264	1.776859924198116e-07
465000	0.000690433510085194	1.7405384062140625e-07
470000	0.0006826600236285261	1.7058654516459458e-07
475000	0.0006751479319908828	1.6844194303168673e-07
480000	0.0006680708417714077	1.6663971185327664e-07
485000	0.0006612216877216606	1.6259299321260443e-07
490000	0.0006535189815135151	1.5979221631051518e-07
495000	0.0006480723128534142	1.59422804478059e-07
500000	0.000640856262953292	1.5626507794005457e-07
505000	0.0006345169056638544	1.5446483313087893e-07
510000	0.0006280780120747928	1.514276854249858e-07
515000	0.0006217306904320892	1.499104789117957e-07
520000	0.0006149171165755447	1.4592014553187994e-07
525000	0.0006093032690533532	1.4552216817495285e-07
530000	0.0006030394362123125	1.442423395722742e-07
535000	0.0005979780821536301	1.436733319004449e-07
540000	0.0005918573216676764	1.4229120345206387e-07
