dist_for_fit	mean	var
545000	0.0005860913570703983	1.3903414610711793e-07
550000	0.0005790414680774301	1.361898137691028e-07
555000	0.0005744850097316626	1.3499154888671382e-07
560000	0.0005689114091111801	1.3209240387844095e-07
565000	0.0005629557017347055	1.3206471940694335e-07
570000	0.0005581183594385706	1.2928620538729315e-07
575000	0.0005524260829701356	1.2681629796387935e-07
580000	0.0005473002807084002	1.2492602875131405e-07
585000	0.0005421655109419807	1.2270800401469078e-07
590000	0.0005376656031503512	1.2362529872835875e-07
595000	0.0005329903646104153	1.22031360158692e-07
600000	0.000527379431081392	1.1994178257858563e-07
605000	0.0005229737237927522	1.1933568001417627e-07
610000	0.0005186224336445718	1.1873790807627844e-07
615000	0.0005135433615054642	1.1621272373178277e-07
620000	0.0005088777974291646	1.1449047557234171e-07
625000	0.0005044507462590403	1.1350065797684024e-07
630000	0.000499810218525389	1.113814123426121e-07
635000	0.0004954289624833551	1.111388140269556e-07
640000	0.0004910261093382729	1.0928911181492582e-07
645000	0.00048632175501355543	1.071983455089416e-07
650000	0.0004823870267124818	1.0637531880270575e-07
655000	0.00047845103427318484	1.047854404643073e-07
660000	0.00047359587593133126	1.0314252655663845e-07
665000	0.0004692203535578796	1.0179111150202128e-07
670000	0.00046644307372844054	1.0284305628135766e-07
675000	0.0004616938181809194	1.0066030715603922e-07
680000	0.00045803235843360797	9.939951334998465e-08
685000	0.00045372212322130647	9.793793318796468e-08
690000	0.0004503927540556974	9.741144527858049e-08
695000	0.0004460743793997018	9.649194871760613e-08
700000	0.0004425887407116045	9.498803354962179e-08
705000	0.000438909304031762	9.351235332833084e-08
710000	0.0004355326800735762	9.258420000200357e-08
715000	0.0004322079063666039	9.278180868760654e-08
720000	0.0004282979974690214	9.083074325657116e-08
725000	0.0004243249512083717	8.891472648909783e-08
730000	0.00042131017191317016	8.843105239529268e-08
735000	0.00041829452023319093	8.81198420727478e-08
740000	0.00041504920393920777	8.731751614142671e-08
745000	0.0004114381928224879	8.613480894340993e-08
750000	0.00040817846621980737	8.471337436400451e-08
755000	0.00040536514941510944	8.414257378345968e-08
760000	0.0004019125813967002	8.234553976118353e-08
765000	0.00039928003702059466	8.233906164965499e-08
770000	0.00039549537201326096	7.98500013581205e-08
775000	0.0003925107784316859	7.996776979488523e-08
780000	0.0003895714878120829	7.933074619003106e-08
785000	0.0003866464924576585	7.914582815972722e-08
790000	0.00038405744070463244	7.797908443128889e-08
795000	0.0003809621106051278	7.706048286526592e-08
800000	0.00037841816699157025	7.649596429391894e-08
805000	0.00037483899027397025	7.521501330820935e-08
810000	0.00037237150725375834	7.483273025533748e-08
815000	0.000369688891805271	7.448127915483417e-08
820000	0.0003668838167761203	7.31867199226919e-08
825000	0.00036432136058327594	7.222939144879789e-08
830000	0.0003617375249045732	7.192378087797084e-08
835000	0.00035897688074016255	7.132112360763641e-08
840000	0.0003560582770598882	7.057374646819638e-08
845000	0.0003537447979884149	7.033109109643951e-08
850000	0.0003510090370868908	6.940526367246076e-08
855000	0.0003486424199536476	6.888737143934644e-08
860000	0.0003463196468532712	6.854741467635509e-08
865000	0.0003441955853911804	6.740686164151883e-08
870000	0.0003418097366454482	6.768643464072402e-08
875000	0.00033863459346536337	6.656596506822177e-08
880000	0.0003365652604830993	6.499609430993538e-08
885000	0.0003343593770535275	6.516036196265961e-08
890000	0.0003317229419521229	6.433734772016486e-08
895000	0.0003298709197339914	6.37721955923329e-08
900000	0.00032733719345892946	6.296025156701974e-08
905000	0.0003253073891797258	6.239620292998131e-08
910000	0.00032290921187432247	6.226515981604384e-08
915000	0.00032076090149935884	6.178774595590446e-08
920000	0.00031860837588531214	6.054539512942508e-08
925000	0.0003168189859741416	6.025715131734255e-08
930000	0.00031384596694463877	5.9438245915773404e-08
935000	0.00031247017800746204	5.9375337431422446e-08
940000	0.0003101630485663043	5.8760117175141796e-08
945000	0.00030792425858911426	5.7911042053060415e-08
950000	0.0003062428191469073	5.781184778601493e-08
955000	0.00030401829405753757	5.700126686155867e-08
960000	0.00030197206932392254	5.6059447992133324e-08
965000	0.0003002454298977673	5.571407725180474e-08
970000	0.0002980195854418394	5.495877130021471e-08
975000	0.0002965377793279641	5.5072820913920534e-08
980000	0.00029431507334995937	5.4731628273548606e-08
985000	0.00029177882646032636	5.343167814519792e-08
990000	0.00029073889752651504	5.316255441580838e-08
995000	0.00028874607367833854	5.3107794157553e-08
1000000	0.00028705471394915757	5.301832219450515e-08
