GENE,MV411-MYB-dTAG-DMSO_1h,MV411-MYB-dTAG-VHL_1h,MV411-MYB-dTAG-DMSO_2h,MV411-MYB-dTAG-VHL_2h,MV411-MYB-dTAG-DMSO_4h,MV411-MYB-dTAG-VHL_4h,MV411-MYB-dTAG-DMSO_8h,MV411-MYB-dTAG-VHL_8h,MV411-MYB-dTAG-DMSO_12h,MV411-MYB-dTAG-VHL_12h,MV411-MYB-dTAG-DMSO_24h,MV411-MYB-dTAG-VHL_24h,MV411-MYB-dTAG-DMSO_48h,MV411-MYB-dTAG-VHL_48h
RPS6KA6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF638,20.0,16.0,58.0,35.0,35.0,26.0,23.0,24.0,18.0,24.0,30.0,37.0,44.0,41.0
GOLIM4,39.0,34.0,99.0,58.0,37.0,43.0,45.0,48.0,22.0,48.0,65.0,65.0,104.0,32.0
EIF3K,4.0,3.0,6.0,4.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,4.0,2.0,6.0
HTATSF1,7.0,7.0,14.0,9.0,10.0,5.0,7.0,5.0,4.0,5.0,5.0,11.0,13.0,11.0
UBE2S,24.0,24.0,59.0,46.0,14.0,15.0,16.0,27.0,15.0,19.0,35.0,30.0,46.0,14.0
PRPF19,37.0,26.0,46.0,29.0,9.0,12.0,22.0,28.0,20.0,30.0,27.0,31.0,39.0,21.0
UTP20,9.0,4.0,22.0,14.0,11.0,4.0,8.0,7.0,5.0,6.0,9.0,9.0,8.0,7.0
RRP7A,207.0,130.0,261.0,162.0,125.0,46.0,135.0,95.0,113.0,112.0,178.0,136.0,265.0,77.0
RABGEF1,32.0,33.0,114.0,79.0,30.0,28.0,35.0,50.0,24.0,57.0,57.0,69.0,79.0,39.0
POLL,33.0,26.0,55.0,45.0,16.0,15.0,27.0,24.0,17.0,23.0,32.0,33.0,47.0,22.0
KCNMB4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMEM97,178.0,277.0,457.0,686.0,186.0,181.0,213.0,214.0,137.0,203.0,315.0,318.0,482.0,138.0
STK39,5.0,4.0,8.0,5.0,3.0,6.0,4.0,7.0,8.0,8.0,4.0,9.0,9.0,5.0
TOR1B,33.0,28.0,76.0,44.0,33.0,24.0,36.0,37.0,15.0,30.0,46.0,57.0,77.0,42.0
MCAT,65.0,42.0,84.0,52.0,44.0,14.0,47.0,32.0,23.0,26.0,51.0,41.0,85.0,20.0
APOBEC3C,17.0,17.0,26.0,25.0,13.0,13.0,16.0,20.0,7.0,16.0,18.0,30.0,11.0,17.0
DESI1,49.0,32.0,133.0,66.0,37.0,22.0,69.0,31.0,40.0,16.0,84.0,46.0,152.0,30.0
SGSM3,8.0,3.0,4.0,5.0,1.0,4.0,4.0,5.0,1.0,3.0,6.0,6.0,7.0,3.0
HTRA2,12.0,15.0,21.0,15.0,7.0,3.0,11.0,10.0,8.0,5.0,17.0,17.0,24.0,13.0
MAT2B,37.0,33.0,105.0,71.0,44.0,39.0,40.0,62.0,25.0,75.0,46.0,94.0,69.0,77.0
TOR2A,60.0,44.0,76.0,72.0,43.0,31.0,48.0,58.0,28.0,55.0,54.0,87.0,83.0,55.0
POLM,61.0,42.0,94.0,96.0,79.0,43.0,61.0,57.0,39.0,54.0,66.0,78.0,107.0,40.0
EML4,27.0,31.0,138.0,98.0,59.0,62.0,53.0,84.0,22.0,83.0,48.0,99.0,78.0,67.0
TMEM121B,54.0,30.0,64.0,43.0,37.0,21.0,51.0,51.0,31.0,44.0,73.0,72.0,102.0,31.0
HDHD5,19.0,13.0,33.0,15.0,17.0,10.0,19.0,15.0,14.0,13.0,20.0,27.0,33.0,22.0
CECR2,0.0,0.0,2.0,0.0,1.0,1.0,1.0,2.0,0.0,3.0,2.0,5.0,1.0,1.0
PCLO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
PPP2R3B,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0
SLCO4A1,21.0,13.0,27.0,10.0,19.0,7.0,24.0,12.0,12.0,8.0,32.0,13.0,43.0,12.0
SLCO3A1,9.0,10.0,24.0,11.0,9.0,5.0,11.0,13.0,6.0,13.0,13.0,21.0,16.0,25.0
CDH20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NKIRAS2,88.0,57.0,152.0,156.0,68.0,54.0,78.0,97.0,58.0,85.0,119.0,126.0,198.0,68.0
NKIRAS1,9.0,4.0,16.0,15.0,4.0,15.0,13.0,17.0,6.0,17.0,12.0,20.0,10.0,12.0
CDH19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRIB2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,5.0
CCDC22,4.0,1.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,6.0
DEXI,19.0,17.0,23.0,21.0,15.0,7.0,12.0,13.0,8.0,17.0,16.0,18.0,18.0,13.0
LAMTOR2,7.0,6.0,18.0,15.0,7.0,5.0,4.0,7.0,5.0,13.0,8.0,9.0,15.0,13.0
MRPS28,15.0,13.0,26.0,29.0,10.0,10.0,14.0,14.0,7.0,15.0,16.0,23.0,25.0,24.0
COA3,30.0,20.0,47.0,38.0,20.0,15.0,21.0,27.0,12.0,21.0,27.0,44.0,56.0,37.0
DCPS,3.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0
OSTM1,20.0,17.0,51.0,36.0,21.0,28.0,19.0,37.0,12.0,24.0,29.0,51.0,46.0,37.0
GIT1,25.0,23.0,38.0,28.0,17.0,8.0,20.0,20.0,12.0,13.0,28.0,26.0,38.0,12.0
SNX24,1.0,0.0,2.0,2.0,0.0,2.0,3.0,2.0,1.0,1.0,2.0,5.0,3.0,2.0
BZW2,49.0,48.0,95.0,35.0,49.0,32.0,38.0,54.0,38.0,57.0,65.0,77.0,78.0,73.0
C11orf54,5.0,7.0,15.0,10.0,4.0,3.0,5.0,5.0,2.0,11.0,13.0,13.0,13.0,11.0
AAMDC,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
SPCS1,29.0,23.0,67.0,53.0,29.0,32.0,28.0,46.0,20.0,41.0,36.0,71.0,52.0,52.0
MRPS18B,75.0,53.0,124.0,96.0,54.0,41.0,59.0,81.0,38.0,70.0,70.0,85.0,109.0,91.0
C19orf53,139.0,100.0,200.0,193.0,88.0,64.0,88.0,81.0,75.0,67.0,159.0,109.0,271.0,76.0
ACAD9,13.0,7.0,20.0,16.0,10.0,5.0,10.0,12.0,7.0,11.0,14.0,13.0,26.0,11.0
MRPL42,49.0,54.0,130.0,80.0,64.0,61.0,57.0,57.0,34.0,79.0,77.0,102.0,102.0,62.0
TMEM14A,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
IFT81,2.0,2.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,5.0,6.0,4.0,6.0,3.0
FLVCR1,54.0,56.0,97.0,107.0,43.0,53.0,54.0,69.0,43.0,54.0,73.0,98.0,86.0,54.0
RGCC,31.0,31.0,51.0,43.0,15.0,10.0,12.0,13.0,12.0,11.0,18.0,7.0,37.0,2.0
MCTS1,57.0,41.0,93.0,69.0,43.0,61.0,47.0,73.0,28.0,85.0,69.0,113.0,106.0,54.0
MAGEH1,3.0,1.0,8.0,6.0,2.0,3.0,3.0,7.0,2.0,5.0,5.0,9.0,7.0,4.0
NOB1,258.0,173.0,432.0,363.0,197.0,95.0,252.0,181.0,164.0,163.0,296.0,227.0,457.0,134.0
DBNL,15.0,10.0,31.0,25.0,10.0,3.0,12.0,22.0,9.0,14.0,13.0,18.0,24.0,24.0
NTMT1,66.0,45.0,68.0,51.0,39.0,18.0,42.0,34.0,32.0,43.0,61.0,40.0,77.0,28.0
ASTE1,119.0,117.0,259.0,200.0,144.0,116.0,103.0,154.0,76.0,149.0,125.0,176.0,160.0,97.0
COMMD5,42.0,27.0,64.0,70.0,30.0,22.0,33.0,36.0,22.0,25.0,48.0,52.0,82.0,36.0
MACROD1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
HIPK2,5.0,4.0,7.0,11.0,4.0,8.0,2.0,19.0,3.0,19.0,5.0,25.0,5.0,25.0
MRPL13,30.0,22.0,60.0,53.0,30.0,29.0,30.0,37.0,20.0,34.0,38.0,54.0,70.0,47.0
KLF15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
