mr422-MV411-MYB-dTAG-DMSO_1h-r1,137152109
mr423-MV411-MYB-dTAG-DMSO_1h-r2,93261178
mr424-MV411-MYB-dTAG-DMSO_1h-r3,97444672
mr425-MV411-MYB-dTAG-DMSO_1h-r4,122572181
mr426-MV411-MYB-dTAG-DMSO_1h-r5,105215946
mr427-MV411-MYB-dTAG-VHL_1h-r1,104909946
mr428-MV411-MYB-dTAG-VHL_1h-r2,89075359
mr429-MV411-MYB-dTAG-VHL_1h-r3,93219900
mr430-MV411-MYB-dTAG-VHL_1h-r4,150028335
mr431-MV411-MYB-dTAG-VHL_1h-r5,149801690
mr432-MV411-MYB-dTAG-DMSO_2h-r1,159666958
mr433-MV411-MYB-dTAG-DMSO_2h-r2,132429330
mr434-MV411-MYB-dTAG-DMSO_2h-r3,144385166
mr435-MV411-MYB-dTAG-DMSO_2h-r4,108186184
mr436-MV411-MYB-dTAG-DMSO_2h-r5,148852250
mr437-MV411-MYB-dTAG-VHL_2h-r1,120314500
mr438-MV411-MYB-dTAG-VHL_2h-r2,110258002
mr439-MV411-MYB-dTAG-VHL_2h-r3,133151015
mr440-MV411-MYB-dTAG-VHL_2h-r4,172235750
mr441-MV411-MYB-dTAG-VHL_2h-r5,105623322
mr442-MV411-MYB-dTAG-DMSO_4h-r1,121341764
mr443-MV411-MYB-dTAG-DMSO_4h-r2,135340703
mr444-MV411-MYB-dTAG-DMSO_4h-r3,156259711
mr445-MV411-MYB-dTAG-DMSO_4h-r4,125868381
mr446-MV411-MYB-dTAG-DMSO_4h-r5,78537220
mr447-MV411-MYB-dTAG-VHL_4h-r1,68757766
mr448-MV411-MYB-dTAG-VHL_4h-r2,84965233
mr449-MV411-MYB-dTAG-VHL_4h-r3,68456370
mr450-MV411-MYB-dTAG-VHL_4h-r4,86390206
mr451-MV411-MYB-dTAG-VHL_4h-r5,93792109
mr452-MV411-MYB-dTAG-DMSO_8h-r1,83129777
mr453-MV411-MYB-dTAG-DMSO_8h-r2,76553088
mr454-MV411-MYB-dTAG-DMSO_8h-r3,88980497
mr455-MV411-MYB-dTAG-DMSO_8h-r4,73228189
mr456-MV411-MYB-dTAG-DMSO_8h-r5,77153151
mr457-MV411-MYB-dTAG-VHL_8h-r1,87748263
mr458-MV411-MYB-dTAG-VHL_8h-r2,91648022
mr459-MV411-MYB-dTAG-VHL_8h-r3,78412313
mr460-MV411-MYB-dTAG-VHL_8h-r4,95487125
mr461-MV411-MYB-dTAG-VHL_8h-r5,91473587
mr462-MV411-MYB-dTAG-DMSO_12h-r1,67302716
mr463-MV411-MYB-dTAG-DMSO_12h-r2,53182104
mr464-MV411-MYB-dTAG-DMSO_12h-r3,70395994
mr465-MV411-MYB-dTAG-DMSO_12h-r4,46132697
mr466-MV411-MYB-dTAG-DMSO_12h-r5,68017882
mr467-MV411-MYB-dTAG-VHL_12h-r1,61631172
mr468-MV411-MYB-dTAG-VHL_12h-r2,89518128
mr469-MV411-MYB-dTAG-VHL_12h-r3,83892306
mr470-MV411-MYB-dTAG-VHL_12h-r4,123508211
mr471-MV411-MYB-dTAG-VHL_12h-r5,128955573
mr472-MV411-MYB-dTAG-DMSO_24h-r1,63403714
mr473-MV411-MYB-dTAG-DMSO_24h-r2,114520397
mr474-MV411-MYB-dTAG-DMSO_24h-r3,83115572
mr475-MV411-MYB-dTAG-DMSO_24h-r4,108012427
mr476-MV411-MYB-dTAG-DMSO_24h-r5,97382899
mr477-MV411-MYB-dTAG-VHL_24h-r1,118508860
mr478-MV411-MYB-dTAG-VHL_24h-r2,101496873
mr479-MV411-MYB-dTAG-VHL_24h-r3,92873451
mr480-MV411-MYB-dTAG-VHL_24h-r4,125678618
mr481-MV411-MYB-dTAG-VHL_24h-r5,125981361
mr482-MV411-MYB-dTAG-DMSO_48h-r1,59935828
mr483-MV411-MYB-dTAG-DMSO_48h-r2,97551198
mr484-MV411-MYB-dTAG-DMSO_48h-r3,130139413
mr485-MV411-MYB-dTAG-DMSO_48h-r4,162867831
mr486-MV411-MYB-dTAG-DMSO_48h-r5,124432831
mr487-MV411-MYB-dTAG-VHL_48h-r1,65186460
mr488-MV411-MYB-dTAG-VHL_48h-r2,93657330
mr489-MV411-MYB-dTAG-VHL_48h-r3,66727322
mr490-MV411-MYB-dTAG-VHL_48h-r4,97487052
mr491-MV411-MYB-dTAG-VHL_48h-r5,101781948
