GENE,MV411-MYB-dTAG-DMSO_1h,MV411-MYB-dTAG-VHL_1h,MV411-MYB-dTAG-DMSO_2h,MV411-MYB-dTAG-VHL_2h,MV411-MYB-dTAG-DMSO_4h,MV411-MYB-dTAG-VHL_4h,MV411-MYB-dTAG-DMSO_8h,MV411-MYB-dTAG-VHL_8h,MV411-MYB-dTAG-DMSO_12h,MV411-MYB-dTAG-VHL_12h,MV411-MYB-dTAG-DMSO_24h,MV411-MYB-dTAG-VHL_24h,MV411-MYB-dTAG-DMSO_48h,MV411-MYB-dTAG-VHL_48h
DLEU2,777.6,880.2,1282.4,1050.6,981.8,766.6,697.0,705.4,526.2,809.4,940.0,849.4,1088.2,407.2
TSC22D1,4.2,6.0,5.0,3.2,8.4,4.0,5.0,5.4,4.6,6.0,6.8,8.8,6.2,8.6
KAT2B,108.6,131.2,111.6,105.6,96.2,125.2,88.6,219.8,70.2,275.0,140.8,317.2,159.8,214.4
CDK5R1,119.4,110.6,124.4,83.0,119.0,64.0,87.0,102.0,53.8,104.8,66.4,147.4,63.0,78.2
ASAP2,20.4,22.4,30.2,23.8,18.4,19.2,20.8,22.4,14.4,24.4,18.0,28.8,23.0,24.0
ALDH1A2,0.2,0.0,0.2,0.0,0.2,0.6,0.0,1.2,0.0,1.0,0.2,4.2,0.2,1.2
PROZ,12.0,11.6,11.0,14.0,6.8,3.2,13.2,8.0,6.2,8.2,9.8,8.4,9.2,4.2
STK19,16.4,14.0,17.6,20.6,15.2,11.6,9.6,12.0,12.2,13.4,13.4,19.4,20.4,19.2
LDB1,1185.0,1172.4,1198.6,1040.8,1129.2,590.0,857.8,925.4,701.4,941.4,991.2,1220.4,919.6,761.4
PER3,96.6,127.0,117.8,121.2,98.6,83.0,76.8,89.0,67.2,85.6,97.0,139.0,119.6,110.8
PER2,222.4,256.2,249.6,191.6,211.6,106.4,148.0,133.6,110.2,146.2,148.6,206.0,150.6,124.2
SYNJ1,140.6,196.6,206.8,227.0,254.6,270.2,170.2,246.8,105.6,250.2,174.4,263.8,180.4,142.4
ST3GAL5,49.4,56.4,37.2,53.4,36.4,49.2,33.8,76.4,37.2,85.2,55.8,147.8,58.6,180.6
IER3,53.8,111.4,40.6,62.6,42.4,53.8,32.6,111.8,25.8,117.4,58.2,86.6,55.2,31.6
SYNJ2,275.6,233.0,299.8,164.2,205.2,92.6,121.8,101.0,97.6,98.8,133.6,131.2,139.8,78.2
CDC123,1942.6,1739.4,2264.8,2000.6,1924.4,1332.6,1344.0,1311.4,1227.6,1379.6,1501.8,1551.4,2061.4,1105.4
ARHGEF7,1325.8,1330.0,1493.8,1338.2,1489.6,975.8,871.8,1125.8,666.8,1191.2,1008.0,1437.4,956.8,981.6
VNN2,35.0,37.2,35.6,44.4,33.8,37.6,19.2,42.0,21.0,62.6,40.0,80.2,45.0,36.8
SPHK1,27.4,25.0,23.0,31.0,19.8,17.2,13.0,28.8,17.0,27.0,18.0,32.8,19.6,30.4
SQSTM1,1497.4,1295.6,1591.4,1685.6,1707.4,1285.6,1010.8,1445.6,837.6,1458.2,1093.6,1656.0,1128.6,1281.0
SGPL1,586.6,653.0,655.2,600.4,617.2,433.6,467.2,693.6,333.8,723.0,515.4,900.6,519.4,603.4
FUBP1,6034.6,7515.8,9416.4,8687.2,10497.6,6550.2,5943.4,6646.0,3785.4,6701.8,5182.0,5819.4,6275.8,2425.8
CDC16,807.6,643.8,778.4,752.4,769.6,560.0,466.8,538.0,425.4,604.2,545.6,786.4,761.2,1024.8
ZPR1,1634.8,1480.0,1795.8,1596.8,1660.0,950.8,1052.2,974.4,935.6,1014.4,1108.8,1088.0,1332.8,970.8
NAE1,363.6,334.2,408.6,420.4,290.6,333.4,279.6,268.0,267.4,298.2,314.2,286.2,367.0,220.8
SLC5A6,2626.2,2431.2,2907.0,2183.6,2991.0,1081.4,2050.0,1379.4,1467.6,1357.2,1653.2,1454.8,1614.4,783.2
DDX18,7251.0,8202.0,10284.0,8730.8,9105.2,4904.2,5300.8,4239.6,4208.0,4637.0,5460.6,4708.2,6619.8,3213.2
TAX1BP1,1986.8,2114.8,2595.6,2125.4,1973.8,1153.4,1494.8,1041.0,1277.8,1210.0,1810.0,1429.0,2269.8,1138.8
MCM3AP,108.6,85.6,77.4,70.2,76.0,50.0,60.2,68.0,53.4,65.8,73.6,94.8,80.6,113.2
EIF2B4,79.6,72.8,88.4,85.4,80.4,66.0,56.8,55.4,60.2,59.0,73.6,98.8,79.0,109.8
EIF2B3,232.6,176.6,193.2,189.8,196.2,117.2,142.4,129.6,152.0,142.4,156.8,148.8,200.0,152.4
EIF2B2,426.4,365.6,462.8,400.2,440.6,280.4,299.4,304.2,266.6,343.4,344.2,373.8,425.0,339.4
EIF2B5,510.6,402.0,485.8,421.4,402.4,254.6,300.4,307.8,274.8,321.4,315.4,396.0,355.8,404.8
EIF2S2,4326.0,3569.4,4364.6,3938.0,3890.8,2422.6,2467.8,2473.0,2362.6,2778.4,3091.0,2686.8,5312.2,2770.6
CPNE3,1352.6,1788.2,2063.2,1904.8,1674.6,1599.8,1168.4,2170.2,867.6,2424.2,1682.6,3544.8,1648.2,2301.6
BUD31,547.2,429.6,484.8,498.0,482.0,348.6,323.8,360.2,323.0,402.0,378.2,409.6,527.8,454.2
MTMR3,435.8,420.0,502.0,437.4,448.0,304.6,270.6,409.4,196.6,419.6,301.0,528.8,314.8,365.8
MTMR2,1190.6,1432.2,1665.2,1560.6,1440.2,1188.0,1027.8,1310.2,856.8,1373.0,1238.6,1358.0,1524.6,797.4
PRPF4B,3456.4,4289.8,4790.4,4252.8,4821.0,3501.2,2816.6,3068.8,2321.6,3483.4,3039.0,4101.6,3126.2,2760.2
CCNA1,306.0,225.8,370.4,198.6,316.6,78.2,223.0,103.2,196.6,124.4,276.0,129.8,335.2,103.6
CPNE1,3267.4,3302.6,3518.6,3214.4,3164.4,1821.8,1982.8,2450.6,1574.6,2691.0,2875.6,3380.2,3034.0,1839.8
AP1S2,1976.2,2586.8,2883.0,2860.2,2036.4,2237.2,1524.0,3004.8,1305.6,4100.6,2760.6,7002.4,2971.8,6532.2
AP1G2,94.4,86.8,89.4,83.2,80.8,52.2,53.4,64.8,49.4,75.2,86.4,122.4,105.4,135.0
AP1M1,1413.0,1151.6,1180.4,1041.0,1054.6,507.0,758.2,801.2,671.8,898.6,1021.0,1074.8,954.6,687.2
ENDOU,1.4,2.0,1.4,2.8,0.6,0.8,0.6,0.4,0.4,0.6,1.2,2.0,0.8,0.6
TIMELESS,869.8,741.0,909.8,737.2,667.2,455.4,483.0,707.6,443.6,804.2,536.8,726.4,630.6,441.8
BCL10,384.0,465.2,464.8,441.6,436.0,390.4,276.0,371.2,239.4,458.2,331.8,497.2,291.0,333.8
