RegionsCount::Count!!I,ParentID::ID of the parent!!I,ID::ID!!I
"#",,
0, , 
0, , 
0, , 
0, , 
0, , 
0, , 
0, , 
0, , 
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
1,2,3
0,2,5
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
1,2,3
0,2,5
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
1,2,3
0,2,5
1, , 
2,2,3
0,2,6
1, , 
1,2,3
0,2,5
1, , 
1,2,3
0,2,5
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
1,2,3
0,2,5
1, , 
1,2,3
0,2,5
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
1,2,3
0,2,5
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
1,2,4
1, , 
0,2,3
1,2,4
1, , 
0,2,3
1,2,4
1, , 
0,2,3
2,2,4
1, , 
1,2,3
1,2,5
1, , 
1,2,3
1,2,5
1, , 
1,2,3
2,2,5
1, , 
1,2,3
2,2,5
1, , 
1,2,3
2,2,5
1, , 
1,2,3
0,2,5
1, , 
1,2,3
0,2,5
1, , 
1,2,3
1,2,5
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
1,2,3
0,2,5
1, , 
2,2,3
0,2,6
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
1,2,3
0,2,5
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
1,2,4
1, , 
1,2,3
1,2,5
1, , 
1,2,3
1,2,5
1, , 
1,2,3
2,2,5
1, , 
1,2,3
1,2,5
1, , 
1,2,3
1,2,5
2, , 
0,2,4
1,3,5
0,2,7
1,3,8
1, , 
1,2,3
1,2,5
2, , 
0,2,4
1,3,5
0,2,7
0,3,8
2, , 
0,2,4
1,3,5
0,2,7
1,3,8
2, , 
0,2,4
1,3,5
0,2,7
0,3,8
2, , 
0,2,4
2,3,5
0,2,8
0,3,9
1, , 
2,2,3
0,2,6
1, , 
2,2,3
0,2,6
1, , 
2,2,3
0,2,6
1, , 
1,2,3
0,2,5
1, , 
2,2,3
0,2,6
1, , 
2,2,3
1,2,6
1, , 
2,2,3
0,2,6
1, , 
1,2,3
0,2,5
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
1,2,3
1,2,5
1, , 
0,2,3
1,2,4
1, , 
1,2,3
2,2,5
1, , 
2,2,3
2,2,6
1, , 
2,2,3
4,2,6
1, , 
3,2,3
3,2,7
1, , 
3,2,3
3,2,7
1, , 
3,2,3
3,2,7
1, , 
3,2,3
2,2,7
1, , 
3,2,3
2,2,7
1, , 
4,2,3
2,2,8
1, , 
2,2,3
1,2,6
1, , 
2,2,3
2,2,6
1, , 
2,2,3
2,2,6
1, , 
2,2,3
1,2,6
1, , 
3,2,3
3,2,7
1, , 
4,2,3
4,2,8
1, , 
4,2,3
5,2,8
1, , 
4,2,3
5,2,8
1, , 
3,2,3
5,2,7
1, , 
2,2,3
3,2,6
1, , 
1,2,3
3,2,5
1, , 
1,2,3
4,2,5
1, , 
2,2,3
7,2,6
1, , 
1,2,3
6,2,5
1, , 
2,2,3
6,2,6
1, , 
2,2,3
5,2,6
1, , 
3,2,3
8,2,7
1, , 
2,2,3
6,2,6
1, , 
2,2,3
5,2,6
1, , 
3,2,3
5,2,7
1, , 
3,2,3
2,2,7
1, , 
2,2,3
4,2,6
1, , 
2,2,3
3,2,6
1, , 
2,2,3
4,2,6
1, , 
2,2,3
5,2,6
1, , 
2,2,3
4,2,6
1, , 
2,2,3
4,2,6
1, , 
1,2,3
4,2,5
1, , 
0,2,3
3,2,4
1, , 
1,2,3
3,2,5
1, , 
1,2,3
1,2,5
1, , 
1,2,3
1,2,5
1, , 
1,2,3
2,2,5
1, , 
1,2,3
3,2,5
1, , 
2,2,3
3,2,6
1, , 
2,2,3
2,2,6
1, , 
1,2,3
4,2,5
1, , 
2,2,3
4,2,6
1, , 
2,2,3
3,2,6
1, , 
2,2,3
3,2,6
1, , 
1,2,3
3,2,5
1, , 
2,2,3
3,2,6
1, , 
2,2,3
3,2,6
1, , 
2,2,3
3,2,6
1, , 
2,2,3
2,2,6
1, , 
1,2,3
3,2,5
1, , 
1,2,3
3,2,5
1, , 
1,2,3
5,2,5
1, , 
1,2,3
3,2,5
1, , 
1,2,3
3,2,5
1, , 
1,2,3
3,2,5
1, , 
1,2,3
2,2,5
1, , 
1,2,3
4,2,5
1, , 
1,2,3
3,2,5
1, , 
2,2,3
3,2,6
1, , 
2,2,3
1,2,6
1, , 
3,2,3
1,2,7
1, , 
2,2,3
1,2,6
1, , 
2,2,3
1,2,6
1, , 
2,2,3
1,2,6
1, , 
2,2,3
2,2,6
1, , 
1,2,3
2,2,5
1, , 
1,2,3
2,2,5
1, , 
1,2,3
2,2,5
1, , 
2,2,3
2,2,6
1, , 
1,2,3
2,2,5
1, , 
1,2,3
2,2,5
1, , 
0,2,3
2,2,4
1, , 
0,2,3
1,2,4
1, , 
0,2,3
1,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
