task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
77	87/e0261f	5028915918655136449	PRESEQ (MV411_MYB_VHL-MYB_R1)	COMPLETED	0	2022-05-11 23:00:23.362	38m 28s	32m 27s	100.0%	45.4 MB	287.2 MB	8.4 GB	487 KB
73	c5/535651	1948103780629676959	PRESEQ (MV411_MYB_DMSO-MED1_R1)	COMPLETED	0	2022-05-11 22:56:22.619	42m 49s	36m 26s	100.0%	40.9 MB	278.6 MB	8.1 GB	487.1 KB
74	c0/2d0da7	1612843659923048049	MERGED_BAM_FILTER (MV411_MYB_DMSO-MYC_R1)	COMPLETED	0	2022-05-11 22:56:43.106	42m 58s	35m 21s	177.5%	5 GB	6.1 GB	36.4 GB	21.3 GB
84	e7/6ea332	16110053416227391376	MERGED_BAM_REMOVE_ORPHAN (MV411_MYB_VHL-MYC_R1)	COMPLETED	0	2022-05-11 23:20:12.637	23m 39s	17m 16s	165.4%	5 GB	6.1 GB	25.6 GB	12.9 GB
72	74/ce20a7	7901348198170832512	MERGED_BAM_FILTER (MV411_MYB_DMSO-MED1_R1)	COMPLETED	0	2022-05-11 22:56:22.943	50m 58s	43m 17s	176.5%	5 GB	6.1 GB	43 GB	25.8 GB
76	d7/ef9499	17782880463665806806	MERGED_BAM_FILTER (MV411_MYB_VHL-MYB_R1)	COMPLETED	0	2022-05-11 23:00:23.705	54m 57s	46m 34s	179.9%	5 GB	6.1 GB	42.6 GB	25.4 GB
91	98/a42162	9591906312319498876	BIGWIG (MV411_MYB_VHL-MYC_R1)	COMPLETED	0	2022-05-11 23:43:53.841	12m 18s	8m 13s	123.1%	1.9 GB	1.9 GB	13.9 GB	7.5 GB
78	c0/f5937f	7171919542988694149	MERGED_BAM_FILTER (MV411_MYB_DMSO-MYB_R1)	COMPLETED	0	2022-05-11 23:00:43.441	56m 8s	48m 1s	177.2%	5 GB	6.1 GB	46.8 GB	28.8 GB
89	fc/e038e3	3860445325989665456	PICARD_METRICS (MV411_MYB_VHL-MYC_R1)	COMPLETED	0	2022-05-11 23:43:54.785	13m 18s	9m 12s	102.2%	1.5 GB	39.3 GB	6.7 GB	790.3 KB
88	e5/793abe	18215083278815430466	MERGED_BAM_REMOVE_ORPHAN (MV411_MYB_DMSO-MYC_R1)	COMPLETED	0	2022-05-11 23:39:42.956	26m 49s	20m 12s	166.7%	5 GB	6.1 GB	30 GB	15.3 GB
80	34/85d1d5	2721382000420670577	MERGED_BAM_FILTER (MV411_MYB_VHL-MED1_R1)	COMPLETED	0	2022-05-11 23:12:43.193	54m 8s	45m 52s	178.9%	5 GB	6.1 GB	41.1 GB	24.5 GB
90	21/cd5992	9157372244127776182	PHANTOMPEAKQUALTOOLS (MV411_MYB_VHL-MYC_R1)	COMPLETED	0	2022-05-11 23:43:54.255	25m 38s	21m 19s	81.1%	2.4 GB	2.9 GB	32.5 GB	28.7 GB
94	02/de69e5	9863676330061735287	PLOTPROFILE (MV411_MYB_VHL-MYC_R1)	COMPLETED	0	2022-05-11 23:56:15.617	14m 17s	11m 34s	844.3%	3.6 GB	4.5 GB	3.7 GB	1.3 GB
